submission_id,date_accident,heure_accident,region,type_accident,alcool
94,2024-03-05,13:41,Kara,Collision,Non
95,2024-02-06,09:35,Centrale,Sortie de route,Oui
96,2024-07-09,19:56,Savanes,Choc,Non
97,2024-04-02,20:05,Kara,Sortie de route,Non
98,2025-10-30,13:36,Kara,Renversement,Oui
99,2025-04-18,06:34,Plateaux,Sortie de route,Non
100,2025-06-07,03:19,Maritime,Collision,Oui
101,2024-02-21,abc,Maritime,Sortie de route,Oui
102,2024-05-01,09:36,Kara,Renversement,Non
103,2024-07-05,23:54,Centrale,Collision,Oui
104,2024-07-30,06:10,Maritime,Choc,Oui
105,2025-01-12,10:46,Maritime,Renversement,Oui
106,2024-06-08,10:19,Centrale,Collision,Non
107,2024-11-26,03:11,Savanes,Collision,Oui
108,2024-10-18,22:27,Kara,Collision,Oui
109,2024-12-12,00:12,Savanes,Sortie de route,Non
110,2025-12-01,23:04,Kara,Choc,Oui
111,2024-11-24,19:28,Lomé,Sortie de route,Non
112,2025-08-05,00:26,Centrale,Sortie de route,Oui
113,2025-04-04,18:17,Maritime,Renversement,Oui
114,2024-07-11,19:50,Lomé,Sortie de route,Oui
115,2024-08-07,18:59,Kara,Sortie de route,Oui
116,invalid-date,13:30,Centrale,Choc,Oui
117,2025-05-02,11:03,Centrale,Choc,Non
118,,22:07,Maritime,Choc,Non
85,,17:11,Savanes,Choc,Oui
120,2025-06-12,10:03,Centrale,Collision,Non
121,2025-01-03,06:05,,Choc,
122,2025-04-30,07:11,Maritime,Choc,Oui
123,2025-04-15,20:46,Lomé,Renversement,Oui
124,2024-04-17,06:37,Centrale,Choc,Non
125,2024-05-06,23:52,Lomé,Sortie de route,Non
126,2025-04-05,16:38,,Renversement,Non
127,2024-09-10,21:04,,Renversement,Oui
128,2025-12-09,02:42,Kara,Collision,Oui
129,2024-03-19,05:48,Plateaux,Choc,Oui
130,2025-04-05,05:52,Lomé,Collision,Oui
131,2025-07-18,08:23,Savanes,Renversement,Oui
132,2024-10-01,14:18,Lomé,Choc,Oui
133,2025-05-25,06:38,Centrale,Sortie de route,Non
134,2025-02-21,14:53,Maritime,Renversement,Oui
135,2024-01-26,00:40,,Choc,Non
136,2024-10-11,13:58,Centrale,Renversement,Non
137,2024-11-13,09:18,Plateaux,Choc,Non
138,32/13/2025,20:46,Lomé,Renversement,Non
139,2025-11-28,,Maritime,Sortie de route,Non
140,32/13/2025,20:06,Savanes,Renversement,Non
141,2024-06-06,02:11,Savanes,Renversement,Non
142,2025-05-26,10:28,Maritime,Choc,Oui
143,32/13/2025,08:13,Plateaux,Sortie de route,Oui
144,2024-04-26,16:09,Kara,Sortie de route,Oui
145,2025-01-03,06:24,Plateaux,Renversement,Oui
146,2025-03-08,11:53,Plateaux,Sortie de route,Non
147,2025-07-09,00:48,Kara,Choc,Non
62,2025-01-30,03:56,Maritime,Collision,Oui
149,,22:22,Lomé,Choc,Oui
150,2024-07-31,04:37,Maritime,Renversement,Oui
151,2024-12-19,06:19,Centrale,Collision,Non
152,2025-05-13,04:46,Lomé,Renversement,Non
153,2025-08-07,12:21,Savanes,Sortie de route,Non
154,2024-02-03,14:52,Centrale,Renversement,
155,2025-04-09,05:43,,Renversement,Oui
156,2024-04-14,14:16,Savanes,Collision,Non
157,2024-12-07,23:16,Centrale,Collision,Oui
158,2024-01-09,99:99,Savanes,Choc,Oui
159,2024-01-30,02:29,Lomé,Sortie de route,Non
160,invalid-date,13:40,Kara,Renversement,Non
161,2025-04-07,00:24,Centrale,Renversement,Non
162,2025-01-06,06:58,,Choc,Non
163,2024-07-20,20:09,,Sortie de route,Oui
164,2024-02-05,14:29,Lomé,Sortie de route,Non
165,2024-07-16,02:37,Kara,Collision,Non
166,2024-03-16,15:03,Savanes,Sortie de route,Non
167,2024-06-28,01:31,Centrale,Choc,Non
168,2025-09-18,09:18,Maritime,Sortie de route,Oui
169,2024-06-24,12:33,Maritime,Renversement,Oui
170,2025-05-09,99:99,Savanes,Renversement,Oui
171,2024-12-26,04:09,Lomé,Collision,
172,2025-12-10,14:32,Maritime,Collision,Oui
173,2024-07-02,04:37,Lomé,Sortie de route,Oui
174,2024-01-03,17:40,Centrale,Sortie de route,Oui
175,2024-08-02,20:24,Plateaux,Sortie de route,
176,2024-09-28,14:52,Kara,Choc,Non
177,2024-08-31,10:55,Maritime,Collision,Oui
178,2025-03-19,08:28,Plateaux,Collision,Oui
179,,11:22,Savanes,Sortie de route,
180,2025-04-16,15:47,Kara,Renversement,Oui
181,2025-12-21,01:43,,Choc,Oui
182,2025-10-09,11:10,Savanes,Choc,Non
183,2024-02-17,11:44,Kara,Collision,Non
184,2025-11-05,01:30,Plateaux,Choc,Oui
185,2024-06-03,23:57,Savanes,Sortie de route,Non
186,2025-09-21,abc,Savanes,Renversement,Oui
187,2024-05-19,20:59,Savanes,Choc,Non
188,2025-03-28,05:02,Centrale,Choc,Oui
189,2025-04-11,09:54,Savanes,Collision,Non
190,2024-09-26,03:02,Plateaux,Collision,Oui
191,2025-02-21,05:10,Kara,Sortie de route,Non
192,2025-05-27,17:33,Maritime,Collision,Oui
193,2024-01-26,16:43,Kara,Collision,Non
194,2024-05-09,03:39,Centrale,Collision,Oui
195,2025-02-13,22:08,Kara,Renversement,Oui
196,2025-10-17,23:13,,Sortie de route,Oui
197,2025-10-15,19:59,Lomé,Choc,Non
198,2025-07-12,19:36,Lomé,Renversement,Non
199,2025-06-03,08:20,Maritime,Renversement,Non
200,2024-08-21,21:32,Plateaux,Collision,Oui
201,2024-03-27,12:58,Centrale,Collision,Oui
202,2024-02-01,11:09,Lomé,Renversement,Non
203,2024-09-17,12:12,Lomé,Renversement,
204,2024-03-21,01:17,Maritime,Choc,Non
205,2025-03-08,08:08,Savanes,Choc,Non
206,2025-02-20,12:39,Plateaux,Renversement,Non
207,2024-02-09,19:38,Centrale,Sortie de route,Oui
208,2024-04-06,05:39,Maritime,Sortie de route,Non
209,2024-10-04,21:02,Kara,Renversement,Non
141,2024-10-21,03:34,Plateaux,Choc,Oui
211,2025-10-08,01:29,Savanes,Collision,Oui
212,2024-09-11,18:55,Plateaux,Renversement,Non
213,2025-11-25,,Savanes,Renversement,Oui
214,2025-11-20,04:01,Plateaux,Sortie de route,Oui
215,2025-08-28,08:04,Lomé,Collision,Oui
216,2024-01-24,07:49,Kara,Sortie de route,Non
217,2024-08-03,22:22,Maritime,Collision,Oui
218,2025-09-03,09:09,Centrale,Collision,Oui
219,2025-01-30,06:21,Lomé,Choc,Non
73,2024-03-04,20:29,Savanes,Choc,
221,2025-05-27,23:59,Savanes,Renversement,Non
222,2025-10-27,15:00,Centrale,Sortie de route,Non
223,2024-06-11,22:47,Centrale,Choc,Oui
224,2025-10-12,04:51,,Choc,Oui
225,invalid-date,10:58,Maritime,Collision,Oui
226,2024-03-14,02:54,Plateaux,Renversement,Oui
227,2024-12-17,02:05,Maritime,Sortie de route,Non
228,,18:08,Plateaux,Choc,Non
229,2025-04-25,17:32,Plateaux,Renversement,Non
230,2025-07-26,07:48,Savanes,Sortie de route,Non
231,2024-12-17,20:11,Kara,Sortie de route,Oui
232,32/13/2025,13:00,Maritime,Sortie de route,Oui
233,2024-08-07,07:31,Plateaux,Renversement,Non
234,2024-11-25,11:15,Savanes,Sortie de route,Oui
235,2024-08-07,99:99,Maritime,Choc,
236,2025-02-11,,Centrale,Renversement,Non
237,2025-11-19,99:99,,Choc,Non
238,2024-02-27,17:42,Maritime,Renversement,Non
239,2025-09-11,21:04,Centrale,Choc,Oui
240,32/13/2025,14:50,Centrale,Choc,Non
241,2024-08-11,00:46,Savanes,Choc,Non
242,2024-12-15,08:41,Maritime,Renversement,Oui
243,2024-05-15,14:50,Savanes,Renversement,Non
244,2025-12-01,11:39,Lomé,Collision,Non
245,2025-01-09,22:57,Plateaux,Sortie de route,Non
246,2025-05-17,02:22,Maritime,Collision,Oui
247,2025-04-28,03:05,Savanes,Choc,Oui
248,2024-06-10,11:04,Maritime,Sortie de route,Non
249,2024-08-10,06:32,Savanes,Sortie de route,Non
250,2025-04-28,17:06,Lomé,Renversement,Oui
219,2025-07-31,02:29,Centrale,Renversement,Oui
252,2024-02-11,22:32,Centrale,Collision,Oui
253,,12:47,Maritime,Choc,Oui
254,2024-01-02,07:12,Plateaux,Renversement,Non
255,2024-03-28,07:50,Plateaux,Sortie de route,Non
256,2024-01-31,11:51,Plateaux,Renversement,Non
257,2024-04-12,21:00,Maritime,Choc,Oui
258,2025-08-08,21:16,,Choc,Non
259,2025-11-10,19:38,Savanes,Sortie de route,Non
260,,08:19,Kara,Choc,Non
261,2024-06-09,04:35,,Collision,Oui
262,2024-06-28,03:05,Kara,Collision,Oui
263,2025-01-19,01:44,Maritime,Sortie de route,Oui
264,2025-12-24,12:06,Plateaux,Choc,
32,2024-05-07,abc,Lomé,Renversement,Non
266,2024-06-06,01:01,Savanes,Choc,Oui
267,2024-08-10,22:55,Savanes,Renversement,Non
268,2025-08-21,10:33,Kara,Choc,Non
269,2025-07-28,18:25,,Renversement,Oui
270,2024-04-06,08:16,Centrale,Renversement,Oui
271,2025-09-16,20:36,Kara,Choc,Non
272,2024-04-15,12:10,Kara,Choc,Non
273,,08:06,Maritime,Choc,Non
274,2025-09-13,10:45,Centrale,Choc,Non
275,2025-11-14,06:26,Maritime,Renversement,Non
276,invalid-date,08:36,,Sortie de route,Non
277,32/13/2025,01:39,,Collision,Non
278,2024-10-21,11:34,Maritime,Choc,Non
279,2025-01-31,21:38,Savanes,Renversement,Oui
280,2024-06-09,12:05,Maritime,Sortie de route,Oui
281,2025-11-25,10:46,Lomé,Collision,Oui
282,2024-12-01,22:20,Maritime,Collision,Non
283,2024-06-13,07:21,Lomé,Sortie de route,Non
284,2025-03-10,20:37,,Sortie de route,Non
285,2025-10-08,03:35,Centrale,Sortie de route,Oui
286,2024-12-05,01:48,Centrale,Renversement,Non
287,2024-03-10,20:20,Plateaux,Sortie de route,
288,2025-04-05,03:07,Kara,Collision,Non
289,2024-05-12,17:59,Centrale,Choc,Oui
290,2024-10-19,05:30,Kara,Renversement,Oui
291,2025-04-18,01:21,Savanes,Sortie de route,Oui
292,invalid-date,21:20,Plateaux,Collision,Oui
293,2024-06-06,09:41,Lomé,Collision,Non
294,2025-05-24,19:45,Lomé,Choc,Non
295,2024-08-06,08:37,Kara,Collision,
296,2024-08-03,16:10,Plateaux,Renversement,
297,2024-10-10,02:05,Centrale,Renversement,Oui
298,2025-03-02,15:23,Lomé,Renversement,Oui
299,2025-05-04,07:21,Maritime,Sortie de route,Non
300,2024-04-11,21:55,Lomé,Choc,Non
301,2024-03-31,07:11,Lomé,Sortie de route,Oui
302,2024-03-24,09:05,Maritime,Choc,Oui
303,2025-09-08,00:23,Kara,Choc,Non
304,2024-01-29,14:12,Plateaux,Choc,Oui
305,2024-08-09,20:30,Centrale,Collision,Non
306,2024-12-11,15:21,Plateaux,Sortie de route,Oui
307,2025-08-29,10:57,Kara,Collision,Non
308,2024-11-19,abc,Savanes,Sortie de route,Non
309,2024-12-17,00:05,Maritime,Renversement,Oui
310,2025-11-16,09:34,Plateaux,Sortie de route,Oui
311,2024-08-05,14:59,Lomé,Sortie de route,Non
312,2025-09-12,07:34,Centrale,Collision,Non
313,2025-05-11,01:47,Kara,Sortie de route,Oui
314,2025-08-22,02:50,,Collision,Non
315,2025-02-19,18:15,,Renversement,Oui
316,2024-11-30,21:46,Kara,Collision,Oui
317,2024-07-07,20:46,Centrale,Choc,Oui
318,2025-01-19,23:16,Maritime,Collision,
319,2025-06-17,11:06,Savanes,Choc,Oui
320,2025-04-11,23:26,Kara,Renversement,Non
321,2025-01-30,16:11,Lomé,Renversement,Non
322,2025-05-27,09:24,Centrale,Sortie de route,Oui
323,2024-08-03,21:56,Lomé,Choc,Oui
324,2025-06-28,09:31,Centrale,Collision,Non
325,2025-07-24,01:27,Savanes,Collision,Non
326,2025-08-12,00:37,,Choc,Oui
327,2025-12-11,05:07,Centrale,Sortie de route,Oui
328,2024-04-13,12:40,Savanes,Sortie de route,Oui
329,2024-04-30,20:01,Maritime,Sortie de route,Oui
330,2024-05-18,13:06,Centrale,Collision,Oui
331,2024-09-14,10:58,Maritime,Collision,Oui
332,,01:26,Kara,Renversement,
333,2024-05-13,02:58,Kara,Renversement,Non
334,2025-08-06,20:34,Centrale,Collision,Oui
335,2025-05-21,15:04,Maritime,Sortie de route,Non
336,2024-12-12,11:00,Lomé,Sortie de route,Non
337,2025-06-07,06:15,Plateaux,Sortie de route,Oui
338,2025-08-13,05:55,Plateaux,Renversement,Oui
339,2024-10-25,09:12,Kara,Collision,Oui
340,2024-11-30,23:02,Kara,Choc,Oui
341,2025-12-09,05:17,Plateaux,Choc,Non
342,2025-08-08,16:45,Savanes,Collision,Oui
343,2025-11-04,16:32,Savanes,Collision,Non
344,2024-07-08,18:44,Maritime,Collision,Non
345,2024-04-04,19:31,Plateaux,Choc,Oui
346,2024-07-12,04:25,,Choc,Oui
347,2024-07-02,14:44,Centrale,Choc,Oui
348,2024-02-01,09:09,Plateaux,Renversement,Oui
349,2025-05-16,07:04,Kara,Collision,Non
350,2025-08-21,18:50,Lomé,Collision,Non
351,2025-06-16,23:33,Savanes,Choc,Non
352,2025-12-25,09:13,Plateaux,Renversement,Oui
353,2025-02-20,20:23,Plateaux,Choc,Non
354,2024-06-21,12:40,Maritime,Choc,
355,2025-04-01,19:40,Centrale,Choc,Oui
356,2025-03-31,00:09,Plateaux,Collision,Non
235,2024-05-13,14:02,Lomé,Renversement,Non
358,2025-01-05,16:37,Maritime,Renversement,Oui
359,2024-07-29,17:48,Kara,Sortie de route,Non
360,2024-01-12,15:01,Kara,Sortie de route,Oui
361,2025-01-13,01:56,Savanes,Collision,Non
362,2025-04-11,15:22,Kara,Sortie de route,Oui
363,2024-08-27,09:44,Plateaux,Renversement,Oui
364,2024-09-15,06:02,,Choc,Non
365,2025-01-26,02:23,,Choc,
366,2024-02-12,11:39,Lomé,Choc,Non
367,2024-02-29,03:31,Centrale,Renversement,Oui
368,2025-05-25,14:22,Kara,Choc,Non
369,2025-07-25,02:02,Plateaux,Choc,Non
370,2025-09-18,14:59,Centrale,Sortie de route,Oui
371,2024-08-10,14:42,Lomé,Renversement,Oui
372,2024-12-25,,Maritime,Renversement,Non
373,2024-01-19,16:53,Centrale,Renversement,Non
374,2025-08-10,14:50,Lomé,Renversement,Oui
375,2025-01-03,22:44,Savanes,Collision,Non
376,2024-09-03,18:24,Maritime,Renversement,Oui
377,2025-06-24,09:56,Centrale,Choc,Non
378,2024-11-28,20:58,Plateaux,Renversement,Non
379,2024-05-21,03:33,Centrale,Collision,Non
380,2024-09-30,99:99,Plateaux,Collision,Oui
381,2024-07-03,05:15,Plateaux,Choc,Non
382,2024-01-12,04:44,Lomé,Sortie de route,Non
383,2025-10-20,09:37,Centrale,Sortie de route,Non
384,2024-04-25,18:59,Lomé,Sortie de route,Non
385,2025-12-15,22:31,Kara,Collision,Non
386,2024-06-28,17:36,Lomé,Sortie de route,Non
387,2024-02-22,21:06,Centrale,Sortie de route,Non
388,2024-05-11,12:02,Plateaux,Renversement,Non
389,2025-07-29,19:53,Kara,Sortie de route,Oui
390,2025-07-20,21:58,Lomé,Sortie de route,Oui
391,2025-11-06,01:00,Kara,Renversement,Non
392,2025-02-14,18:11,Kara,Collision,Non
393,2024-07-09,22:40,,Collision,Non
394,2024-02-28,00:23,Maritime,Collision,Oui
395,2024-02-03,22:52,Centrale,Renversement,Non
396,2025-08-18,10:08,Savanes,Renversement,Non
397,2024-09-10,22:29,Plateaux,Renversement,Oui
398,2025-07-12,02:13,Savanes,Choc,Oui
399,2025-01-16,06:25,Savanes,Sortie de route,Oui
400,2024-08-28,14:18,Savanes,Sortie de route,Oui
401,2024-12-27,11:09,Maritime,Collision,Non
402,2025-08-22,14:30,Savanes,Renversement,Oui
403,2024-07-17,20:23,,Renversement,Oui
404,2024-02-23,16:47,Plateaux,Sortie de route,Non
405,2024-06-17,14:48,Lomé,Sortie de route,Oui
406,2024-08-04,22:41,Centrale,Choc,Oui
24,2025-08-28,17:52,Lomé,Collision,Non
408,2025-01-24,00:10,Kara,Collision,Oui
409,invalid-date,00:52,Plateaux,Sortie de route,Non
410,2025-01-11,18:41,Centrale,Choc,
411,2025-02-04,22:13,Plateaux,Renversement,Non
412,2024-09-12,22:40,,Collision,Non
413,2025-08-07,,Lomé,Choc,Oui
414,2024-11-18,23:35,Maritime,Sortie de route,Non
415,2025-11-15,08:24,Centrale,Renversement,Oui
362,2025-05-01,15:42,Maritime,Collision,Oui
417,2024-01-04,06:19,Plateaux,Sortie de route,Oui
418,32/13/2025,16:57,Kara,Choc,Non
419,2025-03-02,11:15,Plateaux,Sortie de route,Oui
420,2024-04-06,14:31,Lomé,Choc,Oui
421,2025-03-05,13:39,Centrale,Choc,Non
422,2025-06-18,15:05,,Renversement,
423,2024-04-17,11:06,Savanes,Collision,Oui
424,2025-11-05,02:43,Lomé,Choc,Oui
425,2024-09-30,05:38,Plateaux,Renversement,
426,2025-05-31,10:35,Centrale,Collision,Oui
427,2025-12-27,13:49,Plateaux,Sortie de route,Non
428,2025-02-15,14:44,Lomé,Choc,Oui
429,2024-05-18,13:41,Kara,Choc,
430,2025-07-21,05:04,Savanes,Choc,Non
431,2025-11-08,17:33,Kara,Sortie de route,Non
432,2025-09-20,05:06,Lomé,Sortie de route,
433,2024-02-27,03:37,Centrale,Sortie de route,Oui
434,2024-06-17,05:57,Centrale,Sortie de route,Non
435,2025-09-09,18:54,Lomé,Sortie de route,Oui
436,2025-12-13,07:08,Kara,Collision,Non
437,2025-09-11,04:36,Savanes,Choc,Non
438,2024-06-11,09:13,Lomé,Renversement,Oui
439,2025-11-27,08:04,Maritime,Renversement,Oui
440,2024-11-30,10:48,Maritime,Collision,Non
441,2025-01-06,18:38,Savanes,Sortie de route,Non
442,2024-02-23,20:31,Lomé,Renversement,Oui
443,2024-12-20,19:14,Savanes,Sortie de route,
444,2025-12-13,10:33,Centrale,Choc,Non
445,2025-10-04,11:29,Lomé,Sortie de route,Oui
446,2025-07-15,11:07,Kara,Collision,Oui
447,2025-01-21,08:07,Kara,Renversement,Non
448,2024-05-20,10:42,Plateaux,Collision,
449,2024-06-28,20:18,Plateaux,Choc,Non
450,2025-03-07,01:36,Centrale,Sortie de route,
451,2024-10-04,01:29,Centrale,Renversement,Non
452,2025-05-12,13:20,Plateaux,Renversement,Oui
453,2025-06-27,15:42,Lomé,Collision,
454,2025-10-01,12:55,Centrale,Renversement,Non
455,2024-03-04,13:45,Plateaux,Collision,Non
456,2024-12-17,16:45,Kara,Renversement,Oui
457,2025-06-20,17:04,Lomé,Collision,Oui
458,2025-09-12,02:53,Centrale,Renversement,Non
459,2025-02-09,19:45,Centrale,Collision,Non
460,2024-06-06,09:55,Savanes,Sortie de route,Non
461,2025-09-20,03:23,Centrale,Sortie de route,Oui
308,2024-08-06,15:42,Plateaux,Sortie de route,Non
463,2025-05-14,15:04,,Collision,Non
464,2024-07-14,04:39,Kara,Sortie de route,Oui
465,,12:55,Savanes,Choc,Oui
466,2025-11-08,99:99,Kara,Sortie de route,Oui
467,2024-09-19,14:26,Maritime,Collision,Non
468,2025-12-23,09:01,,Choc,Non
469,2024-01-27,20:26,Maritime,Renversement,Non
470,invalid-date,16:44,Plateaux,Choc,Non
471,,23:11,Maritime,Renversement,Non
472,2025-05-08,11:13,Plateaux,Collision,Non
473,2025-10-20,22:56,Plateaux,Collision,Non
474,32/13/2025,07:22,Plateaux,Choc,Oui
475,2025-05-17,19:40,Lomé,Choc,Non
476,2024-03-23,14:05,Savanes,Collision,Non
477,2025-04-21,20:38,,Choc,Oui
478,2024-01-22,10:09,Savanes,Collision,Non
479,2025-02-23,08:45,Savanes,Sortie de route,Non
480,2025-01-22,11:48,Lomé,Renversement,Non
481,2025-11-14,07:55,Centrale,Sortie de route,
482,2024-09-05,17:58,Savanes,Sortie de route,Non
483,2024-05-14,02:58,Kara,Renversement,Oui
484,2025-10-04,18:24,Savanes,Collision,Oui
485,2025-01-16,02:40,Kara,Collision,Non
486,2025-10-01,09:31,Plateaux,Choc,Oui
487,2024-07-20,20:51,Savanes,Choc,Non
488,2024-08-20,10:03,Lomé,Choc,Oui
489,2025-05-12,06:32,Plateaux,Collision,Oui
490,2024-11-25,01:07,,Renversement,Non
491,2025-12-26,06:07,Savanes,Sortie de route,Non
492,2024-11-25,01:11,Lomé,Renversement,Non
493,2025-06-06,06:01,Plateaux,Collision,Oui
494,2024-01-21,01:59,Plateaux,Sortie de route,Non
495,2025-10-15,17:30,Savanes,Sortie de route,Non
496,32/13/2025,abc,Kara,Renversement,Oui
497,2025-03-17,08:17,Lomé,Renversement,Oui
498,,07:55,Lomé,Sortie de route,Oui
499,2024-12-01,13:06,Maritime,Renversement,Non
500,2024-03-30,06:34,Savanes,Sortie de route,
501,2025-10-19,15:10,Maritime,Renversement,Non
502,2025-01-01,00:25,Lomé,Choc,Oui
503,2025-03-23,20:36,Kara,Sortie de route,Non
504,2024-11-02,08:38,Savanes,Collision,Non
505,2024-07-13,10:10,Maritime,Sortie de route,Oui
506,2024-06-27,21:19,Plateaux,Collision,Oui
507,2024-07-28,04:19,Centrale,Renversement,Non
508,2025-03-10,01:22,Plateaux,Choc,Non
509,2025-03-15,07:27,Maritime,Collision,Non
510,2024-03-24,00:03,Maritime,Choc,Non
511,2024-05-09,08:43,Kara,Sortie de route,Non
512,2024-04-28,14:06,Savanes,Renversement,Oui
513,2024-04-25,22:34,Centrale,Renversement,Non
514,2025-10-07,09:12,Maritime,Collision,Oui
515,2025-05-09,21:40,Savanes,Sortie de route,Non
516,2024-08-18,18:27,,Collision,Oui
517,2024-07-14,07:49,Kara,Choc,Oui
518,2025-11-01,10:49,,Sortie de route,Non
519,2025-10-06,04:10,Savanes,Renversement,Non
520,2024-10-09,12:18,Kara,Collision,Oui
521,2025-01-06,08:24,Savanes,Collision,Non
522,2024-12-28,10:47,Maritime,Sortie de route,Non
523,2025-08-25,19:42,Maritime,Collision,Oui
524,2024-08-15,15:59,Maritime,Sortie de route,
525,invalid-date,01:53,Plateaux,Sortie de route,
526,2024-02-21,,Kara,Renversement,Oui
527,2024-02-19,09:36,Savanes,Renversement,
528,2024-08-26,17:09,Maritime,Renversement,Oui
529,2024-12-22,22:58,Centrale,Renversement,Oui
224,2025-06-22,,,Sortie de route,Oui
531,2025-01-28,10:38,Maritime,Renversement,Non
532,2024-01-21,16:23,Lomé,Renversement,Oui
533,2025-07-10,06:24,Maritime,Choc,Oui
534,2025-01-01,15:11,Lomé,Choc,Oui
535,invalid-date,23:35,Plateaux,Collision,
536,2024-09-24,21:11,Kara,Renversement,Non
537,2025-10-09,03:53,Kara,Collision,
538,2025-11-11,10:50,Centrale,Renversement,Non
539,2025-09-06,04:58,Plateaux,Sortie de route,Oui
540,2025-03-18,18:17,Plateaux,Choc,Non
